Date,Petrol (USD),Diesel (USD),,,,,,,
26-01-2009,87.42,99.39,,,,,,,
02-02-2009,88.16,99.82,,,,,,,
09-02-2009,89.28,100.31,,,,,,,
16-02-2009,90.12,100.86,,,,,,,
23-02-2009,90.33,100.81,,,,,,,
02-03-2009,90.28,100.64,,,,,,,
09-03-2009,90.15,100.03,,,,,,,
16-03-2009,90.16,99.82,,,,,,,
23-03-2009,90.16,99.52,,,,,,,
30-03-2009,91.35,99.98,,,,,,,
06-04-2009,93.72,102.14,,,,,,,
13-04-2009,94.11,102.44,,,,,,,
20-04-2009,94.62,102.71,,,,,,,
27-04-2009,95.13,102.83,,,,,,,
04-05-2009,95.60,102.80,,,,,,,
11-05-2009,96.59,103.10,,,,,,,
18-05-2009,97.54,103.37,,,,,,,
25-05-2009,98.90,103.55,,,,,,,
01-06-2009,99.39,103.55,,,,,,,
08-06-2009,100.59,103.78,,,,,,,
15-06-2009,101.98,104.50,,,,,,,
22-06-2009,102.81,104.92,,,,,,,
29-06-2009,103.30,105.05,,,,,,,
06-07-2009,103.57,105.11,,,,,,,
13-07-2009,102.78,104.04,,,,,,,
20-07-2009,102.22,102.99,,,,,,,
27-07-2009,102.17,102.91,,,,,,,
03-08-2009,102.36,103.20,,,,,,,
10-08-2009,103.01,103.79,,,,,,,
17-08-2009,103.96,104.45,,,,,,,
24-08-2009,104.70,105.11,,,,,,,
31-08-2009,105.11,105.50,,,,,,,
07-09-2009,106.85,107.30,,,,,,,
14-09-2009,106.43,107.09,,,,,,,
21-09-2009,105.96,106.79,,,,,,,
28-09-2009,105.44,106.39,,,,,,,
05-10-2009,104.87,105.85,,,,,,,
12-10-2009,104.71,105.69,,,,,,,
19-10-2009,105.08,106.28,,,,,,,
26-10-2009,106.76,107.78,,,,,,,
02-11-2009,107.43,108.51,,,,,,,
09-11-2009,108.10,109.35,,,,,,,
16-11-2009,108.48,109.65,,,,,,,
23-11-2009,108.73,109.87,,,,,,,
30-11-2009,108.79,109.99,,,,,,,
07-12-2009,108.64,109.87,,,,,,,
14-12-2009,108.50,109.57,,,,,,,
21-12-2009,107.47,109.13,,,,,,,
28-12-2009,107.44,109.17,,,,,,,
04-01-2010,109.34,111.08,,,,,,,
11-01-2010,110.72,112.59,,,,,,,
18-01-2010,111.60,113.39,,,,,,,
25-01-2010,111.87,113.71,,,,,,,
01-02-2010,111.91,113.75,,,,,,,
08-02-2010,111.95,113.79,,,,,,,
15-02-2010,111.89,113.68,,,,,,,
22-02-2010,111.56,112.76,,,,,,,
01-03-2010,112.42,113.41,,,,,,,
08-03-2010,113.71,114.68,,,,,,,
15-03-2010,115.46,116.21,,,,,,,
22-03-2010,116.59,117.28,,,,,,,
29-03-2010,117.28,118.21,,,,,,,
05-04-2010,119.29,120.09,,,,,,,
12-04-2010,119.94,121.11,,,,,,,
19-04-2010,120.55,121.74,,,,,,,
26-04-2010,120.99,122.31,,,,,,,
03-05-2010,121.18,122.68,,,,,,,
10-05-2010,121.31,122.82,,,,,,,
17-05-2010,121.30,122.83,,,,,,,
24-05-2010,119.93,121.92,,,,,,,
31-05-2010,118.54,120.76,,,,,,,
07-06-2010,118.20,120.40,,,,,,,
14-06-2010,117.87,120.21,,,,,,,
21-06-2010,117.80,120.39,,,,,,,
28-06-2010,117.88,120.38,,,,,,,
05-07-2010,117.91,120.44,,,,,,,
12-07-2010,117.39,119.78,,,,,,,
19-07-2010,116.85,119.24,,,,,,,
26-07-2010,116.61,119.03,,,,,,,
02-08-2010,116.51,119.03,,,,,,,
09-08-2010,116.35,118.94,,,,,,,
16-08-2010,116.34,118.79,,,,,,,
23-08-2010,115.64,117.90,,,,,,,
30-08-2010,114.98,117.37,,,,,,,
06-09-2010,114.59,117.09,,,,,,,
13-09-2010,114.66,117.17,,,,,,,
20-09-2010,115.06,117.72,,,,,,,
27-09-2010,115.39,118.11,,,,,,,
04-10-2010,116.01,118.97,,,,,,,
11-10-2010,116.78,119.77,,,,,,,
18-10-2010,117.28,120.60,,,,,,,
25-10-2010,117.74,121.17,,,,,,,
01-11-2010,118.18,121.66,,,,,,,
08-11-2010,118.67,122.19,,,,,,,
15-11-2010,118.80,122.51,,,,,,,
22-11-2010,118.99,122.74,,,,,,,
29-11-2010,119.21,123.20,,,,,,,
06-12-2010,120.54,124.62,,,,,,,
13-12-2010,121.68,125.77,,,,,,,
20-12-2010,122.31,126.52,,,,,,,
27-12-2010,123.44,127.68,,,,,,,
03-01-2011,124.85,129.11,,,,,,,
10-01-2011,127.40,131.60,,,,,,,
17-01-2011,127.87,132.33,,,,,,,
24-01-2011,128.35,133.00,,,,,,,
31-01-2011,128.55,133.25,,,,,,,
07-02-2011,128.64,133.47,,,,,,,
14-02-2011,128.73,133.71,,,,,,,
21-02-2011,128.92,134.04,,,,,,,
28-02-2011,129.72,135.06,,,,,,,
07-03-2011,131.28,136.90,,,,,,,
14-03-2011,132.18,138.25,,,,,,,
21-03-2011,133.11,139.53,,,,,,,
28-03-2011,132.44,139.04,,,,,,,
04-04-2011,132.81,139.46,,,,,,,
11-04-2011,133.68,140.33,,,,,,,
18-04-2011,135.06,141.34,,,,,,,
25-04-2011,135.62,142.11,,,,,,,
02-05-2011,136.29,142.53,,,,,,,
09-05-2011,137.05,143.06,,,,,,,
16-05-2011,136.40,141.50,,,,,,,
23-05-2011,136.11,140.77,,,,,,,
30-05-2011,135.57,139.81,,,,,,,
06-06-2011,135.62,139.58,,,,,,,
13-06-2011,135.86,139.77,,,,,,,
20-06-2011,136.03,140.05,,,,,,,
27-06-2011,134.86,138.77,,,,,,,
04-07-2011,133.43,137.70,,,,,,,
11-07-2011,134.18,138.40,,,,,,,
18-07-2011,134.97,139.36,,,,,,,
25-07-2011,135.66,139.95,,,,,,,
01-08-2011,136.07,140.55,,,,,,,
08-08-2011,136.46,140.84,,,,,,,
